Sensitive method may not be executed depending on a [[""this condition""|""relative:///dotCMS/src/main/java/com/dotcms/rest/WebResource.java:423:12:423:21""]], which flows from [[""user-controlled value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/UtilResource.java:42:34:42:68""]].
Sensitive method may not be executed depending on a [[""this condition""|""relative:///dotCMS/src/main/java/com/dotcms/rest/WebResource.java:423:12:423:21""]], which flows from [[""user-controlled value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/WidgetResource.java:36:28:36:62""]].
Sensitive method may not be executed depending on a [[""this condition""|""relative:///dotCMS/src/main/java/com/dotcms/rest/WebResource.java:423:12:423:21""]], which flows from [[""user-controlled value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/api/v1/apps/AppsResource.java:73:45:73:85""]].
Sensitive method may not be executed depending on a [[""this condition""|""relative:///dotCMS/src/main/java/com/dotcms/rest/WebResource.java:423:12:423:21""]], which flows from [[""user-controlled value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/api/v1/apps/AppsResource.java:112:13:112:53""]].
Sensitive method may not be executed depending on a [[""this condition""|""relative:///dotCMS/src/main/java/com/dotcms/rest/WebResource.java:423:12:423:21""]], which flows from [[""user-controlled value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/api/v1/apps/AppsResource.java:154:13:154:53""]].
Sensitive method may not be executed depending on a [[""this condition""|""relative:///dotCMS/src/main/java/com/dotcms/rest/WebResource.java:423:12:423:21""]], which flows from [[""user-controlled value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/api/v1/apps/AppsResource.java:203:13:203:53""]].
Sensitive method may not be executed depending on a [[""this condition""|""relative:///dotCMS/src/main/java/com/dotcms/rest/WebResource.java:423:12:423:21""]], which flows from [[""user-controlled value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/api/v1/apps/AppsResource.java:244:13:244:53""]].
Sensitive method may not be executed depending on a [[""this condition""|""relative:///dotCMS/src/main/java/com/dotcms/rest/WebResource.java:423:12:423:21""]], which flows from [[""user-controlled value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/api/v1/apps/AppsResource.java:286:13:286:53""]].
Sensitive method may not be executed depending on a [[""this condition""|""relative:///dotCMS/src/main/java/com/dotcms/rest/WebResource.java:423:12:423:21""]], which flows from [[""user-controlled value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/api/v1/apps/AppsResource.java:328:13:328:53""]].
Sensitive method may not be executed depending on a [[""this condition""|""relative:///dotCMS/src/main/java/com/dotcms/rest/WebResource.java:423:12:423:21""]], which flows from [[""user-controlled value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/api/v1/apps/AppsResource.java:371:13:371:53""]].
